threshold,threshold_metric,accuracy,fnmr,fmr,eer_gap,eer_estimate,known_total,unknown_total,false_accepts,false_rejects
-28.47987918635964,gmm_score,0.7521613832853026,0.2,0.24853801169590642,0.04853801169590641,0.22426900584795323,10,684,170,2
-28.478621153506968,gmm_score,0.7536023054755043,0.2,0.24707602339181287,0.047076023391812855,0.22353801169590642,10,684,169,2
-28.475494741507024,gmm_score,0.7536023054755043,0.2,0.24707602339181287,0.047076023391812855,0.22353801169590642,10,684,169,2
-28.473775701348092,gmm_score,0.7536023054755043,0.2,0.24707602339181287,0.047076023391812855,0.22353801169590642,10,684,169,2
-28.4696267195072,gmm_score,0.7550432276657061,0.2,0.24561403508771928,0.045614035087719274,0.22280701754385965,10,684,168,2
-28.465579325896623,gmm_score,0.7564841498559077,0.2,0.24415204678362573,0.04415204678362572,0.22207602339181287,10,684,167,2
-28.458761842912658,gmm_score,0.7564841498559077,0.2,0.24415204678362573,0.04415204678362572,0.22207602339181287,10,684,167,2
-28.457882759721485,gmm_score,0.7564841498559077,0.2,0.24415204678362573,0.04415204678362572,0.22207602339181287,10,684,167,2
-28.432742903767842,gmm_score,0.7564841498559077,0.2,0.24415204678362573,0.04415204678362572,0.22207602339181287,10,684,167,2
-28.425880869532158,gmm_score,0.7564841498559077,0.2,0.24415204678362573,0.04415204678362572,0.22207602339181287,10,684,167,2
-28.42559186841635,gmm_score,0.7564841498559077,0.2,0.24415204678362573,0.04415204678362572,0.22207602339181287,10,684,167,2
-28.41840205110371,gmm_score,0.7579250720461095,0.2,0.24269005847953215,0.04269005847953214,0.22134502923976607,10,684,166,2
-28.413710725578948,gmm_score,0.7579250720461095,0.2,0.24269005847953215,0.04269005847953214,0.22134502923976607,10,684,166,2
-28.4087315962166,gmm_score,0.7579250720461095,0.2,0.24269005847953215,0.04269005847953214,0.22134502923976607,10,684,166,2
-28.40750773696956,gmm_score,0.7579250720461095,0.2,0.24269005847953215,0.04269005847953214,0.22134502923976607,10,684,166,2
-28.39960105020075,gmm_score,0.7593659942363112,0.2,0.2412280701754386,0.041228070175438586,0.22061403508771932,10,684,165,2
-28.397165931142442,gmm_score,0.760806916426513,0.2,0.23976608187134502,0.039766081871345005,0.2198830409356725,10,684,164,2
-28.39700098195813,gmm_score,0.7622478386167147,0.2,0.23830409356725146,0.03830409356725145,0.21915204678362574,10,684,163,2
-28.376859623973328,gmm_score,0.7622478386167147,0.2,0.23830409356725146,0.03830409356725145,0.21915204678362574,10,684,163,2
-28.37515753362873,gmm_score,0.7636887608069164,0.2,0.23684210526315788,0.03684210526315787,0.21842105263157896,10,684,162,2
-28.372364694144107,gmm_score,0.7651296829971181,0.2,0.23538011695906433,0.03538011695906432,0.21769005847953216,10,684,161,2
-28.3605556253755,gmm_score,0.7665706051873199,0.2,0.23391812865497075,0.033918128654970736,0.21695906432748538,10,684,160,2
-28.350387558748253,gmm_score,0.7680115273775217,0.2,0.2324561403508772,0.03245614035087718,0.2162280701754386,10,684,159,2
-28.341976173457184,gmm_score,0.7680115273775217,0.2,0.2324561403508772,0.03245614035087718,0.2162280701754386,10,684,159,2
-28.33955275177931,gmm_score,0.7680115273775217,0.2,0.2324561403508772,0.03245614035087718,0.2162280701754386,10,684,159,2
-28.33171155856417,gmm_score,0.7694524495677233,0.2,0.2309941520467836,0.030994152046783602,0.2154970760233918,10,684,158,2
-28.330245275997168,gmm_score,0.7694524495677233,0.2,0.2309941520467836,0.030994152046783602,0.2154970760233918,10,684,158,2
-28.328438772776536,gmm_score,0.770893371757925,0.2,0.22953216374269006,0.02953216374269005,0.21476608187134505,10,684,157,2
-28.319641908490592,gmm_score,0.7723342939481268,0.2,0.22807017543859648,0.028070175438596467,0.21403508771929824,10,684,156,2
-28.3189710835226,gmm_score,0.7723342939481268,0.2,0.22807017543859648,0.028070175438596467,0.21403508771929824,10,684,156,2
-28.31526449064028,gmm_score,0.7723342939481268,0.2,0.22807017543859648,0.028070175438596467,0.21403508771929824,10,684,156,2
-28.31263488034054,gmm_score,0.7723342939481268,0.2,0.22807017543859648,0.028070175438596467,0.21403508771929824,10,684,156,2
-28.312330208380494,gmm_score,0.7737752161383286,0.2,0.22660818713450293,0.026608187134502914,0.21330409356725147,10,684,155,2
-28.30976083941227,gmm_score,0.7752161383285303,0.2,0.22514619883040934,0.025146198830409333,0.2125730994152047,10,684,154,2
-28.30471026651658,gmm_score,0.776657060518732,0.2,0.2236842105263158,0.02368421052631578,0.2118421052631579,10,684,153,2
-28.28558405057187,gmm_score,0.776657060518732,0.2,0.2236842105263158,0.02368421052631578,0.2118421052631579,10,684,153,2
-28.27920314302705,gmm_score,0.776657060518732,0.2,0.2236842105263158,0.02368421052631578,0.2118421052631579,10,684,153,2
-28.275607891024226,gmm_score,0.7780979827089337,0.2,0.2222222222222222,0.0222222222222222,0.2111111111111111,10,684,152,2
-28.26870375593265,gmm_score,0.7795389048991355,0.2,0.22076023391812866,0.020760233918128645,0.21038011695906433,10,684,151,2
-28.267581205507277,gmm_score,0.7795389048991355,0.2,0.22076023391812866,0.020760233918128645,0.21038011695906433,10,684,151,2
-28.265325857313556,gmm_score,0.7795389048991355,0.2,0.22076023391812866,0.020760233918128645,0.21038011695906433,10,684,151,2
-28.254809724983907,gmm_score,0.7795389048991355,0.2,0.22076023391812866,0.020760233918128645,0.21038011695906433,10,684,151,2
-28.249713831030615,gmm_score,0.7809798270893372,0.2,0.21929824561403508,0.019298245614035064,0.20964912280701753,10,684,150,2
-28.24950023169482,gmm_score,0.7824207492795389,0.2,0.21783625730994152,0.01783625730994151,0.20891812865497078,10,684,149,2
-28.239277386104472,gmm_score,0.7824207492795389,0.2,0.21783625730994152,0.01783625730994151,0.20891812865497078,10,684,149,2
-28.2368499591166,gmm_score,0.7838616714697406,0.2,0.21637426900584794,0.01637426900584793,0.20818713450292398,10,684,148,2
-28.228559944957897,gmm_score,0.7838616714697406,0.2,0.21637426900584794,0.01637426900584793,0.20818713450292398,10,684,148,2
-28.22476583914558,gmm_score,0.7838616714697406,0.2,0.21637426900584794,0.01637426900584793,0.20818713450292398,10,684,148,2
-28.221551330011696,gmm_score,0.7853025936599424,0.2,0.2149122807017544,0.014912280701754377,0.2074561403508772,10,684,147,2
-28.220457038521584,gmm_score,0.7867435158501441,0.2,0.2134502923976608,0.013450292397660796,0.20672514619883042,10,684,146,2
-28.20845162027521,gmm_score,0.7881844380403458,0.2,0.21198830409356725,0.011988304093567242,0.20599415204678362,10,684,145,2
-28.20397807395483,gmm_score,0.7896253602305475,0.2,0.21052631578947367,0.010526315789473661,0.20526315789473684,10,684,144,2
-28.197541283390823,gmm_score,0.7910662824207493,0.2,0.20906432748538012,0.009064327485380108,0.20453216374269007,10,684,143,2
-28.153191805570714,gmm_score,0.7910662824207493,0.2,0.20906432748538012,0.009064327485380108,0.20453216374269007,10,684,143,2
-28.146016202015986,gmm_score,0.792507204610951,0.2,0.20760233918128654,0.007602339181286527,0.20380116959064326,10,684,142,2
-28.143018184318144,gmm_score,0.792507204610951,0.2,0.20760233918128654,0.007602339181286527,0.20380116959064326,10,684,142,2
-28.137026926782823,gmm_score,0.792507204610951,0.2,0.20760233918128654,0.007602339181286527,0.20380116959064326,10,684,142,2
-28.13157233618729,gmm_score,0.792507204610951,0.2,0.20760233918128654,0.007602339181286527,0.20380116959064326,10,684,142,2
-28.130025513719094,gmm_score,0.792507204610951,0.2,0.20760233918128654,0.007602339181286527,0.20380116959064326,10,684,142,2
-28.118508768679185,gmm_score,0.7939481268011528,0.2,0.20614035087719298,0.006140350877192974,0.2030701754385965,10,684,141,2
-28.0952266742437,gmm_score,0.7953890489913544,0.2,0.2046783625730994,0.004678362573099393,0.2023391812865497,10,684,140,2
-28.09487490800888,gmm_score,0.7968299711815562,0.2,0.20321637426900585,0.0032163742690058394,0.20160818713450293,10,684,139,2
-28.07469842434208,gmm_score,0.7968299711815562,0.2,0.20321637426900585,0.0032163742690058394,0.20160818713450293,10,684,139,2
-28.05324222188966,gmm_score,0.7982708933717579,0.2,0.20175438596491227,0.0017543859649122584,0.20087719298245615,10,684,138,2
-28.05057253031297,gmm_score,0.7982708933717579,0.2,0.20175438596491227,0.0017543859649122584,0.20087719298245615,10,684,138,2
-28.040396145011766,gmm_score,0.7997118155619597,0.2,0.20029239766081872,0.0002923976608187051,0.20014619883040935,10,684,137,2
-28.02874462850114,gmm_score,0.8011527377521613,0.2,0.19883040935672514,0.001169590643274876,0.19941520467836257,10,684,136,2
